step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
0,0.0,20.9748,7.7392,25.6487,0.0,0.0,0.0,0.071,31.176,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.048,-0.0012,0.048,0.0679,-0.7981,0,0,0,0.979,0.68,0.32,0,0,0.0,3,SEARCH_PHASE,0.0,0.0
1,0.131,20.9748,7.7392,25.6491,0.0,0.0,0.0186,0.071,31.176,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.096,-0.0017,0.096,0.1358,-0.794,0,0,0,0.978,0.68,0.32,0,0,0.0,3,SEARCH_PHASE,0.0,0.0
2,0.259,20.9748,7.7392,25.65,-0.0,-0.0,0.0478,0.072,31.176,40.245,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.144,-0.0019,0.144,0.2036,-0.7914,0,0,0,0.978,0.68,0.32,0,0,0.0,3,SEARCH_PHASE,-0.0,-0.0
3,0.392,20.9748,7.7392,25.6517,-0.003,-0.0001,0.0844,0.074,31.176,40.246,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.192,-0.0006,0.192,0.2715,-0.7874,0,0,0,0.978,0.68,0.32,0,0,1.0,3,SEARCH_PHASE,-0.003,-0.0001
4,0.527,20.9746,7.7392,25.6542,-0.006,-0.0001,0.1255,0.076,31.175,40.247,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2399,0.0011,0.24,0.3394,-0.7726,0,0,0,0.978,0.68,0.32,0,0,2.0,3,SEARCH_PHASE,-0.006,-0.0001
5,0.627,20.9744,7.7392,25.6576,-0.0123,-0.0005,0.1699,0.079,31.175,40.249,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2878,0.0045,0.288,0.4072,-0.7959,0,0,0,0.978,0.68,0.32,0,0,3.0,3,SEARCH_PHASE,-0.0123,-0.0005
6,0.726,20.974,7.7392,25.662,-0.0213,0.0001,0.2164,0.084,31.175,40.252,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3357,0.0071,0.336,0.475,-0.7599,0,0,0,0.976,0.679,0.321,0,0,4.0,3,SEARCH_PHASE,-0.0213,0.0001
7,0.823,20.9732,7.7392,25.6672,-0.0365,-0.0012,0.2638,0.089,31.174,40.254,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3835,0.0116,0.384,0.5429,-0.7839,0,0,0,0.976,0.679,0.321,0,0,5.0,3,SEARCH_PHASE,-0.0365,-0.0012
8,0.905,20.9721,7.7391,25.6735,-0.054,-0.0011,0.3122,0.095,31.173,40.258,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.4313,0.0167,0.432,0.6106,-0.7478,0,0,0,0.976,0.679,0.321,0,0,6.0,3,SEARCH_PHASE,-0.054,-0.0011
9,0.986,20.9706,7.7391,25.6807,-0.0772,-0.0025,0.3606,0.102,31.172,40.261,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.4789,0.0228,0.48,0.6784,-0.7723,0,0,0,0.976,0.678,0.322,0,0,7.0,3,SEARCH_PHASE,-0.0772,-0.0025
10,1.066,20.9686,7.739,25.6889,-0.1021,-0.0021,0.4097,0.111,31.171,40.265,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.5265,0.0289,0.528,0.7462,-0.7362,0,0,0,0.974,0.678,0.322,0,0,8.0,3,SEARCH_PHASE,-0.1021,-0.0021
11,1.155,20.9659,7.739,25.6981,-0.1323,-0.0028,0.4583,0.12,31.168,40.269,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.5738,0.0367,0.576,0.8139,-0.761,0,0,0,0.974,0.678,0.322,0,0,9.0,3,SEARCH_PHASE,-0.1323,-0.0028
12,1.237,20.9626,7.739,25.7082,-0.1637,-0.0013,0.5073,0.13,31.166,40.274,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.621,0.0456,0.624,0.8815,-0.7235,0,0,0,0.974,0.678,0.322,0,0,10.0,3,SEARCH_PHASE,-0.1637,-0.0013
13,1.317,20.9586,7.7389,25.7193,-0.1998,-0.0004,0.5559,0.141,31.162,40.278,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.6677,0.0569,0.672,0.949,-0.7482,0,0,0,0.972,0.677,0.323,0,0,11.0,3,SEARCH_PHASE,-0.1998,-0.0004
14,1.4,20.9539,7.739,25.7314,-0.2382,0.0031,0.6048,0.153,31.159,40.283,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.7145,0.0675,0.72,1.0166,-0.7125,0,0,0,0.972,0.677,0.323,0,0,12.0,3,SEARCH_PHASE,-0.2382,0.0031
15,1.488,20.9482,7.7391,25.7445,-0.2825,0.0066,0.6528,0.166,31.154,40.288,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.7605,0.0813,0.768,1.0839,-0.7377,0,0,0,0.969,0.677,0.323,0,0,11.5,3,SEARCH_PHASE,-0.2825,0.0066
16,1.571,20.9417,7.7394,25.7585,-0.3284,0.013,0.7009,0.18,31.149,40.293,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.8069,0.0933,0.816,1.1514,-0.7021,0,0,0,0.969,0.678,0.322,0,0,11.0,3,SEARCH_PHASE,-0.3284,0.013
17,1.657,20.9341,7.7398,25.7735,-0.3796,0.0198,0.7479,0.195,31.143,40.298,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.8345,0.054,0.864,1.2024,-0.7275,0,0,0,0.0,0.0,1.0,0,0,10.5,3,SEARCH_PHASE,-0.3796,0.0198
18,1.743,20.9254,7.7404,25.7893,-0.4316,0.0298,0.7939,0.211,31.137,40.303,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.8621,0.0148,0.912,1.2551,-0.7108,0,0,0,0.0,0.0,1.0,0,0,10.0,3,SEARCH_PHASE,-0.4316,0.0298
19,1.823,20.9157,7.7412,25.8061,-0.4882,0.0405,0.8384,0.228,31.129,40.308,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.8897,-0.0245,0.96,1.3091,-0.755,0,0,0,0.0,0.0,1.0,0,0,9.5,3,SEARCH_PHASE,-0.4882,0.0405
20,1.903,20.9048,7.7423,25.8237,-0.5456,0.0527,0.8822,0.246,31.121,40.312,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9173,-0.0638,1.008,1.3644,-0.7071,0,0,0,0.0,0.0,1.0,0,0,9.0,3,SEARCH_PHASE,-0.5456,0.0527
21,1.983,20.8927,7.7435,25.8423,-0.6012,0.0619,0.9269,0.264,31.112,40.317,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9449,-0.1031,1.056,1.4208,-0.7498,0,0,0,0.0,0.0,1.0,0,0,8.5,3,SEARCH_PHASE,-0.6012,0.0619
22,2.063,20.8796,7.7449,25.8617,-0.6575,0.0724,0.9715,0.283,31.102,40.322,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9724,-0.1424,1.104,1.4781,-0.719,0,0,0,0.002,0.001,0.999,0,0,8.0,3,SEARCH_PHASE,-0.6575,0.0724
23,2.144,20.8654,7.7465,25.8821,-0.7119,0.0795,1.017,0.304,31.092,40.327,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0,-0.1817,1.152,1.5363,-0.7624,0,0,0,0.047,0.033,0.967,0,0,6.0,3,SEARCH_PHASE,-0.7119,0.0795
24,2.224,20.85,7.7482,25.9033,-0.7674,0.0852,1.0628,0.325,31.081,40.332,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0275,-0.2211,1.2,1.5952,-0.7223,0,0,0,0.073,0.025,0.975,0,0,4.0,3,SEARCH_PHASE,-0.7674,0.0852
25,2.304,20.8336,7.7499,25.9255,-0.8218,0.0849,1.1095,0.347,31.068,40.337,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.055,-0.2604,1.248,1.6548,-0.7457,0,0,0,0.098,0.048,0.952,0,0,2.0,3,SEARCH_PHASE,-0.8218,0.0849
26,2.388,20.8161,7.7516,25.9486,-0.8727,0.0816,1.1575,0.37,31.055,40.341,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0824,-0.2998,1.296,1.715,-0.7141,0,0,0,0.12,0.046,0.954,0,0,0.0,3,SEARCH_PHASE,-0.8727,0.0816
27,2.469,20.7976,7.753,25.9728,-0.9236,0.0727,1.2057,0.395,31.041,40.346,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1099,-0.3391,1.344,1.7757,-0.7329,0,0,0,0.138,0.052,0.948,0,0,0.0,3,SEARCH_PHASE,-0.9236,0.0727
28,2.551,20.7782,7.7542,25.9979,-0.9697,0.0603,1.2551,0.42,31.026,40.351,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1373,-0.3786,1.392,1.837,-0.7037,0,0,0,0.165,0.069,0.931,0,0,0.0,3,SEARCH_PHASE,-0.9697,0.0603
29,2.636,20.7579,7.7551,26.0239,-1.0154,0.0423,1.3043,0.446,31.011,40.355,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1647,-0.418,1.44,1.8986,-0.7211,0,0,0,0.277,0.076,0.924,0,0,0.0,3,SEARCH_PHASE,-1.0154,0.0423
30,2.723,20.7368,7.7555,26.051,-1.0559,0.0208,1.3544,0.473,30.994,40.36,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.192,-0.4574,1.488,1.9607,-0.6945,0,0,0,0.463,0.112,0.888,0,0,0.0,3,SEARCH_PHASE,-1.0559,0.0208
31,2.81,20.7149,7.7554,26.0791,-1.0958,-0.0061,1.404,0.501,30.976,40.364,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2193,-0.4969,1.536,2.0231,-0.7103,0,0,0,0.636,0.114,0.886,0,0,0.0,3,SEARCH_PHASE,-1.0958,-0.0061
32,2.898,20.6923,7.7546,26.1082,-1.13,-0.0366,1.4541,0.53,30.958,40.369,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2466,-0.5364,1.584,2.0859,-0.6788,0,0,0,0.692,0.11,0.89,0,0,0.0,3,SEARCH_PHASE,-1.13,-0.0366
33,2.989,20.669,7.7532,26.1383,-1.1634,-0.0726,1.5035,0.56,30.938,40.373,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2739,-0.5759,1.632,2.1489,-0.6921,0,0,0,0.708,0.125,0.875,0,0,0.0,3,SEARCH_PHASE,-1.1634,-0.0726
34,3.07,20.6452,7.751,26.1693,-1.1926,-0.1114,1.5528,0.591,30.918,40.377,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3052,-0.5395,1.68,2.1947,-0.6701,0,0,0,0.947,0.155,0.845,0,0,0.0,3,SEARCH_PHASE,-1.1926,-0.1114
