step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,4.7101,1.3306,4.1908,0.0,0.0,0.0,0.071,12.481,13.104,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.048,-0.0012,0.048,0.0679,-0.8284,0,0,0,0.979,0.631,0.369,0,0,0.0,2,SEARCH_PHASE,0.0,0.0,10.7115,6.4065
1,0.016,4.7101,1.3306,4.1912,0.0,0.0,0.0186,0.071,12.481,13.104,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.096,-0.0016,0.096,0.1358,-0.8243,0,0,0,0.978,0.629,0.371,0,0,0.0,2,SEARCH_PHASE,0.0,0.0,10.7115,6.4065
2,0.024,4.7101,1.3306,4.1921,-0.0,-0.0,0.0478,0.072,12.481,13.104,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.144,-0.0018,0.144,0.2036,-0.8218,0,0,0,0.978,0.629,0.371,0,0,0.0,2,SEARCH_PHASE,-0.0,-0.0,10.7115,6.4065
3,0.033,4.7101,1.3306,4.1938,-0.003,-0.0,0.0844,0.074,12.481,13.105,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.192,-0.0005,0.192,0.2715,-0.8174,0,0,0,0.978,0.634,0.366,0,0,1.0,2,SEARCH_PHASE,-0.003,-0.0,10.7114,6.4065
4,0.04,4.7099,1.3306,4.1963,-0.006,-0.0001,0.1255,0.076,12.481,13.105,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.2399,0.0012,0.24,0.3394,-0.8042,0,0,0,0.978,0.647,0.353,0,0,2.0,2,SEARCH_PHASE,-0.006,-0.0001,10.7113,6.4065
5,0.052,4.7097,1.3306,4.1997,-0.0123,-0.0005,0.1699,0.079,12.481,13.106,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.2878,0.0047,0.288,0.4072,-0.8274,0,0,0,0.978,0.641,0.359,0,0,3.0,2,SEARCH_PHASE,-0.0123,-0.0005,10.7111,6.4065
6,0.059,4.7093,1.3306,4.2041,-0.0213,0.0,0.2164,0.084,12.48,13.107,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.3357,0.0073,0.336,0.475,-0.7914,0,0,0,0.976,0.588,0.412,0,0,4.0,2,SEARCH_PHASE,-0.0213,0.0,10.7106,6.4065
7,0.067,4.7085,1.3306,4.2093,-0.0366,-0.0015,0.2638,0.089,12.48,13.108,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.3835,0.0117,0.384,0.5429,-0.8154,0,0,0,0.976,0.581,0.419,0,0,5.0,2,SEARCH_PHASE,-0.0366,-0.0015,10.7099,6.4065
8,0.075,4.7074,1.3305,4.2156,-0.0541,-0.0018,0.3122,0.095,12.479,13.109,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.4312,0.0173,0.432,0.6106,-0.7792,0,0,0,0.976,0.556,0.444,0,0,6.0,2,SEARCH_PHASE,-0.0541,-0.0018,10.7088,6.4064
9,0.082,4.7059,1.3305,4.2228,-0.0774,-0.0036,0.3606,0.102,12.477,13.11,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.4787,0.0241,0.48,0.6784,-0.8037,0,0,0,0.976,0.527,0.473,0,0,7.0,2,SEARCH_PHASE,-0.0774,-0.0036,10.7073,6.4064
10,0.09,4.7039,1.3304,4.231,-0.1024,-0.0038,0.4097,0.111,12.476,13.111,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.5263,0.0307,0.528,0.7461,-0.7675,0,0,0,0.974,0.495,0.505,0,0,8.0,2,SEARCH_PHASE,-0.1024,-0.0038,10.7052,6.4063
11,0.098,4.7012,1.3303,4.2402,-0.1328,-0.0051,0.4583,0.12,12.473,13.111,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.5737,0.0384,0.576,0.8138,-0.7924,0,0,0,0.974,0.501,0.499,0,0,9.0,2,SEARCH_PHASE,-0.1328,-0.0051,10.7026,6.4062
12,0.109,4.6979,1.3302,4.2503,-0.1644,-0.0044,0.5072,0.13,12.47,13.112,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.6208,0.0472,0.624,0.8815,-0.7549,0,0,0,0.974,0.465,0.535,0,0,10.0,2,SEARCH_PHASE,-0.1644,-0.0044,10.6993,6.4061
13,0.12,4.6939,1.3301,4.2614,-0.2008,-0.0045,0.5559,0.141,12.467,13.112,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.6675,0.0583,0.672,0.949,-0.7796,0,0,0,0.972,0.383,0.617,0,0,11.0,2,SEARCH_PHASE,-0.2008,-0.0045,10.6953,6.406
14,0.128,4.6891,1.3301,4.2735,-0.2394,-0.002,0.6047,0.153,12.463,13.112,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.7144,0.0687,0.72,1.0166,-0.7438,0,0,0,0.972,0.366,0.634,0,0,12.0,2,SEARCH_PHASE,-0.2394,-0.002,10.6905,6.406
15,0.139,4.6834,1.3301,4.2866,-0.2839,0.0003,0.6527,0.166,12.458,13.111,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.7604,0.0823,0.768,1.0839,-0.7689,0,0,0,0.969,0.268,0.732,0,0,11.5,2,SEARCH_PHASE,-0.2839,0.0003,10.6848,6.406
16,0.148,4.6768,1.3302,4.3006,-0.33,0.0054,0.7008,0.18,12.452,13.11,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.806,0.0973,0.816,1.1511,-0.7332,0,0,0,0.969,0.239,0.761,0,0,11.0,2,SEARCH_PHASE,-0.33,0.0054,10.6782,6.4061
17,0.156,4.6692,1.3304,4.3155,-0.3814,0.0108,0.7478,0.195,12.446,13.109,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.8376,0.0612,0.864,1.2049,-0.7586,0,0,0,0.414,0.187,0.813,0,0,10.5,2,SEARCH_PHASE,-0.3814,0.0108,10.6706,6.4063
18,0.163,4.6605,1.3308,4.3314,-0.4336,0.0192,0.7943,0.211,12.439,13.107,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.8692,0.025,0.912,1.2601,-0.7233,0,0,0,0.408,0.181,0.819,0,0,10.0,2,SEARCH_PHASE,-0.4336,0.0192,10.6619,6.4067
19,0.171,4.6507,1.3314,4.3482,-0.4904,0.0282,0.8389,0.228,12.431,13.104,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.9008,-0.0111,0.96,1.3165,-0.7659,0,0,0,0.412,0.186,0.814,0,0,9.5,2,SEARCH_PHASE,-0.4904,0.0282,10.6521,6.4072
20,0.178,4.6398,1.3322,4.3659,-0.5473,0.0406,0.8829,0.246,12.422,13.102,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.9323,-0.0473,1.008,1.3739,-0.7813,0,0,0,0.404,0.18,0.82,0,0,9.0,2,SEARCH_PHASE,-0.5473,0.0406,10.6412,6.408
21,0.186,4.6277,1.3332,4.3844,-0.6027,0.052,0.9282,0.264,12.412,13.098,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.9638,-0.0835,1.056,1.4322,-0.7591,0,0,0,0.406,0.18,0.82,0,0,8.5,2,SEARCH_PHASE,-0.6027,0.052,10.6291,6.4091
22,0.193,4.6145,1.3344,4.4039,-0.6605,0.0599,0.9728,0.284,12.401,13.094,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.9953,-0.1198,1.104,1.4912,-0.7777,0,0,0,0.409,0.186,0.814,0,0,8.0,2,SEARCH_PHASE,-0.6605,0.0599,10.6159,6.4103
23,0.2,4.6002,1.3357,4.4242,-0.7171,0.0667,1.0184,0.304,12.39,13.09,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.0267,-0.156,1.152,1.551,-0.7576,0,0,0,0.424,0.179,0.821,0,0,6.0,2,SEARCH_PHASE,-0.7171,0.0667,10.6016,6.4116
24,0.208,4.5847,1.3371,4.4455,-0.7736,0.0691,1.0644,0.325,12.377,13.085,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.0581,-0.1924,1.2,1.6114,-0.7675,0,0,0,0.424,0.18,0.82,0,0,4.0,2,SEARCH_PHASE,-0.7736,0.0691,10.5861,6.413
25,0.216,4.5682,1.3385,4.4678,-0.8261,0.0692,1.1118,0.347,12.364,13.08,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.0894,-0.2287,1.248,1.6723,-0.7481,0,0,0,0.436,0.188,0.812,0,0,2.0,2,SEARCH_PHASE,-0.8261,0.0692,10.5696,6.4144
26,0.224,4.5506,1.3398,4.491,-0.879,0.0647,1.159,0.371,12.349,13.074,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.1207,-0.2651,1.296,1.7338,-0.7574,0,0,0,0.434,0.187,0.813,0,0,0.0,2,SEARCH_PHASE,-0.879,0.0647,10.552,6.4157
27,0.231,4.532,1.341,4.5151,-0.9285,0.0576,1.2072,0.395,12.334,13.067,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.1519,-0.3016,1.344,1.7956,-0.7388,0,0,0,0.443,0.196,0.804,0,0,0.0,2,SEARCH_PHASE,-0.9285,0.0576,10.5334,6.4168
28,0.238,4.5124,1.3419,4.5402,-0.9792,0.0458,1.2547,0.42,12.318,13.06,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.1831,-0.3381,1.392,1.8579,-0.7583,0,0,0,0.453,0.2,0.8,0,0,0.0,2,SEARCH_PHASE,-0.9792,0.0458,10.5138,6.4177
29,0.246,4.4919,1.3425,4.5663,-1.0272,0.0312,1.3035,0.446,12.301,13.053,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.2141,-0.3747,1.44,1.9205,-0.7412,0,0,0,0.47,0.208,0.792,0,0,0.0,2,SEARCH_PHASE,-1.0272,0.0312,10.4933,6.4184
30,0.253,4.4704,1.3427,4.5933,-1.0739,0.0106,1.3524,0.473,12.282,13.044,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.2451,-0.4114,1.488,1.9834,-0.7494,0,0,0,0.476,0.208,0.792,0,0,0.0,2,SEARCH_PHASE,-1.0739,0.0106,10.4718,6.4186
31,0.261,4.4481,1.3424,4.6214,-1.1153,-0.0142,1.4022,0.501,12.263,13.036,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.276,-0.4481,1.536,2.0466,-0.7325,0,0,0,0.49,0.214,0.786,0,0,0.0,2,SEARCH_PHASE,-1.1153,-0.0142,10.4495,6.4183
32,0.268,4.425,1.3415,4.6504,-1.1563,-0.0452,1.4511,0.53,12.243,13.027,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.3069,-0.4849,1.584,2.11,-0.7081,0,0,0,0.495,0.22,0.78,0,0,0.0,2,SEARCH_PHASE,-1.1563,-0.0452,10.4264,6.4174
33,0.276,4.4011,1.3399,4.6804,-1.1925,-0.0806,1.4999,0.56,12.222,13.017,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.3376,-0.5218,1.632,2.1737,-0.7303,0,0,0,0.512,0.231,0.769,0,0,0.0,2,SEARCH_PHASE,-1.1925,-0.0806,10.4025,6.4158
34,0.283,4.3766,1.3375,4.7113,-1.2273,-0.1188,1.5489,0.591,12.2,13.007,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.3682,-0.5587,1.68,2.2376,-0.6788,0,0,0,0.516,0.236,0.764,0,0,0.0,2,SEARCH_PHASE,-1.2273,-0.1188,10.378,6.4134
35,0.291,4.3514,1.3343,4.7433,-1.2581,-0.1623,1.5968,0.623,12.177,12.997,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.3988,-0.5957,1.7,2.2807,-0.705,0,0,0,0.524,0.242,0.758,0,0,0.0,2,SEARCH_PHASE,-1.2581,-0.1623,10.3528,6.4102
36,0.299,4.3257,1.3302,4.776,-1.2854,-0.2048,1.6352,0.656,12.153,12.986,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.4292,-0.6329,1.7,2.3094,-0.6538,0,0,0,0.52,0.237,0.763,0,0,0.0,2,SEARCH_PHASE,-1.2854,-0.2048,10.3271,6.4061
37,0.306,4.2995,1.3252,4.8092,-1.3106,-0.248,1.6584,0.689,12.128,12.974,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.4595,-0.6701,1.7,2.3386,-0.6953,0,0,0,0.526,0.226,0.774,0,0,0.0,2,SEARCH_PHASE,-1.3106,-0.248,10.3009,6.4011
38,0.314,4.2728,1.3194,4.8426,-1.3355,-0.289,1.6736,0.722,12.102,12.962,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.4898,-0.7074,1.7,2.3685,-0.6488,0,0,0,0.523,0.228,0.772,0,0,0.0,2,SEARCH_PHASE,-1.3355,-0.289,10.2742,6.3953
