step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
0,0.0,-6.2272,7.5567,1.7763,0.0,0.0,0.0,0.071,14.518,14.603,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.048,-0.0009,0.048,0.0679,0.719,0,0,0,0.979,0.584,0.416,0,0,0.0,2,SEARCH_PHASE,0.0,0.0
1,0.008,-6.2272,7.5567,1.7767,0.0,0.0,0.0186,0.071,14.518,14.604,-15.4453,18.7729,0.2,0.0,-0.0001,0.0,-0.096,-0.0028,0.096,0.1358,0.7129,0,0,0,0.978,0.579,0.421,0,0,0.0,2,SEARCH_PHASE,-0.0,0.0001
2,0.016,-6.2272,7.5567,1.7776,0.0,-0.0,0.0478,0.072,14.518,14.604,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.1439,-0.005,0.144,0.2036,0.7157,0,0,0,0.978,0.573,0.427,0,0,0.0,2,SEARCH_PHASE,0.0,-0.0
3,0.024,-6.2272,7.5567,1.7793,-0.0031,-0.0001,0.0844,0.074,14.518,14.604,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.1918,-0.0086,0.192,0.2715,0.6899,0,0,0,0.978,0.583,0.417,0,0,0.0,2,SEARCH_PHASE,-0.0031,-0.0001
4,0.031,-6.2273,7.5567,1.7818,-0.0061,0.0001,0.1257,0.076,14.518,14.604,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.2396,-0.012,0.24,0.3394,0.7199,0,0,0,0.978,0.586,0.414,0,0,1.0,2,SEARCH_PHASE,-0.0061,0.0001
5,0.039,-6.2276,7.5567,1.7852,-0.0124,-0.0013,0.17,0.079,14.518,14.604,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.2875,-0.0164,0.288,0.4072,0.6766,0,0,0,0.978,0.583,0.417,0,0,2.0,2,SEARCH_PHASE,-0.0124,-0.0013
6,0.046,-6.228,7.5567,1.7896,-0.0214,-0.0009,0.2165,0.084,14.518,14.604,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.3351,-0.022,0.336,0.4751,0.7066,0,0,0,0.978,0.572,0.428,0,0,3.0,2,SEARCH_PHASE,-0.0214,-0.0009
7,0.054,-6.2287,7.5566,1.7949,-0.0362,-0.0027,0.2639,0.089,14.517,14.605,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.3827,-0.0284,0.384,0.5429,0.6633,0,0,0,0.976,0.546,0.454,0,0,4.0,2,SEARCH_PHASE,-0.0362,-0.0027
8,0.062,-6.2298,7.5566,1.8011,-0.0542,-0.0032,0.3124,0.095,14.517,14.605,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.4302,-0.0352,0.432,0.6107,0.6927,0,0,0,0.976,0.531,0.469,0,0,5.0,2,SEARCH_PHASE,-0.0542,-0.0032
9,0.069,-6.2314,7.5564,1.8083,-0.0784,-0.0066,0.3609,0.103,14.516,14.605,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.4775,-0.0433,0.48,0.6785,0.6505,0,0,0,0.976,0.52,0.48,0,0,6.0,2,SEARCH_PHASE,-0.0784,-0.0066
10,0.077,-6.2335,7.5562,1.8165,-0.1061,-0.0091,0.41,0.111,14.515,14.604,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.5248,-0.0518,0.528,0.7462,0.6792,0,0,0,0.974,0.502,0.498,0,0,7.0,2,SEARCH_PHASE,-0.1061,-0.0091
11,0.084,-6.2363,7.5559,1.8257,-0.1399,-0.0149,0.4583,0.12,14.513,14.604,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.5716,-0.0621,0.576,0.8139,0.6487,0,0,0,0.974,0.507,0.493,0,0,8.0,2,SEARCH_PHASE,-0.1399,-0.0149
12,0.092,-6.2399,7.5555,1.8358,-0.1769,-0.0204,0.5069,0.13,14.511,14.603,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.6186,-0.072,0.624,0.8816,0.6766,0,0,0,0.974,0.488,0.512,0,0,9.0,2,SEARCH_PHASE,-0.1769,-0.0204
13,0.1,-6.2442,7.555,1.8469,-0.2183,-0.0286,0.5549,0.141,14.509,14.602,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.6651,-0.084,0.672,0.9492,0.6344,0,0,0,0.972,0.456,0.544,0,0,10.0,2,SEARCH_PHASE,-0.2183,-0.0286
14,0.107,-6.2494,7.5542,1.859,-0.2614,-0.0356,0.6031,0.153,14.506,14.6,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.7111,-0.0976,0.72,1.0167,0.662,0,0,0,0.972,0.441,0.559,0,0,11.0,2,SEARCH_PHASE,-0.2614,-0.0356
15,0.115,-6.2556,7.5533,1.872,-0.3089,-0.0459,0.6503,0.166,14.503,14.599,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.7573,-0.1107,0.768,1.0842,0.6237,0,0,0,0.969,0.405,0.595,0,0,10.5,2,SEARCH_PHASE,-0.3089,-0.0459
16,0.124,-6.2628,7.5522,1.8859,-0.3586,-0.0555,0.6976,0.18,14.499,14.597,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.8034,-0.1242,0.816,1.1518,0.6508,0,0,0,0.969,0.395,0.605,0,0,10.0,2,SEARCH_PHASE,-0.3586,-0.0555
17,0.136,-6.271,7.5508,1.9008,-0.4115,-0.0686,0.744,0.195,14.495,14.594,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.8489,-0.1393,0.864,1.2192,0.6224,0,0,0,0.969,0.377,0.623,0,0,9.5,2,SEARCH_PHASE,-0.4115,-0.0686
18,0.143,-6.2803,7.5492,1.9166,-0.4652,-0.0811,0.7908,0.211,14.49,14.592,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.863,-0.0935,0.912,1.2591,0.6493,0,0,0,0.724,0.362,0.638,0,0,9.0,2,SEARCH_PHASE,-0.4652,-0.0811
19,0.151,-6.2908,7.5473,1.9333,-0.5223,-0.096,0.835,0.228,14.485,14.588,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.8771,-0.0476,0.96,1.3012,0.6286,0,0,0,0.726,0.36,0.64,0,0,8.5,2,SEARCH_PHASE,-0.5223,-0.096
20,0.158,-6.3024,7.5451,1.9509,-0.5806,-0.1093,0.8783,0.245,14.48,14.585,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.8911,-0.0017,1.008,1.3454,0.6391,0,0,0,0.721,0.354,0.646,0,0,8.0,2,SEARCH_PHASE,-0.5806,-0.1093
21,0.166,-6.3151,7.5427,1.9693,-0.6363,-0.1233,0.9217,0.264,14.473,14.581,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9051,0.0443,1.056,1.3915,0.6668,0,0,0,0.722,0.353,0.647,0,0,7.5,2,SEARCH_PHASE,-0.6363,-0.1233
22,0.173,-6.329,7.5399,1.9886,-0.6938,-0.1355,0.9651,0.283,14.467,14.577,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.919,0.0902,1.104,1.4393,0.6336,0,0,0,0.729,0.36,0.64,0,0,7.0,2,SEARCH_PHASE,-0.6938,-0.1355
23,0.181,-6.344,7.5371,2.0088,-0.7507,-0.1432,1.0095,0.303,14.46,14.572,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9329,0.1361,1.152,1.4886,0.6542,0,0,0,0.731,0.375,0.625,0,0,5.0,2,SEARCH_PHASE,-0.7507,-0.1432
24,0.188,-6.3601,7.5341,2.0299,-0.8021,-0.1487,1.0558,0.324,14.452,14.567,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9467,0.1821,1.2,1.5393,0.6233,0,0,0,0.738,0.385,0.615,0,0,3.0,2,SEARCH_PHASE,-0.8021,-0.1487
25,0.196,-6.3771,7.5311,2.052,-0.8525,-0.1496,1.1027,0.346,14.443,14.562,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9814,0.1489,1.248,1.5946,0.643,0,0,0,0.965,0.396,0.604,0,0,1.0,2,SEARCH_PHASE,-0.8525,-0.1496
