step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,-26.4857,21.633,0.451,0.0,0.0,0.0,0.121,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.048,-0.0013,0.048,0.0679,-0.1779,0,0,0,0.978,0.605,0.395,0,0,0.0,4,SEARCH_PHASE,0.0,0.0,-62.6101,39.1515
1,0.027,-26.4857,21.633,0.4514,0.0,0.0,0.0186,0.121,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.096,-0.0021,0.096,0.1358,-0.1739,0,0,0,0.976,0.607,0.393,0,0,0.0,4,SEARCH_PHASE,0.0,0.0,-62.6101,39.1515
2,0.055,-26.4857,21.633,0.4523,0.0,-0.0,0.0478,0.122,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.144,-0.0025,0.144,0.2036,-0.1712,0,0,0,0.976,0.607,0.393,0,0,0.0,4,SEARCH_PHASE,0.0,-0.0,-62.6101,39.1515
3,0.08,-26.4858,21.633,0.454,-0.003,-0.0001,0.0844,0.124,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.192,-0.0016,0.192,0.2715,-0.1676,0,0,0,0.976,0.613,0.387,0,0,1.0,4,SEARCH_PHASE,-0.003,-0.0001,-62.6102,39.1515
4,0.106,-26.4859,21.633,0.4565,-0.006,-0.0002,0.1255,0.126,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.2399,-0.0002,0.24,0.3394,-0.1517,0,0,0,0.976,0.613,0.387,0,0,2.0,4,SEARCH_PHASE,-0.006,-0.0002,-62.6103,39.1515
5,0.129,-26.4861,21.633,0.4599,-0.0123,-0.0006,0.1699,0.129,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.2878,0.003,0.288,0.4072,-0.175,0,0,0,0.976,0.606,0.394,0,0,3.0,4,SEARCH_PHASE,-0.0123,-0.0006,-62.6105,39.1515
6,0.152,-26.4866,21.633,0.4643,-0.0213,0.0001,0.2164,0.134,73.844,73.845,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.3358,0.0053,0.336,0.4751,-0.139,0,0,0,0.976,0.602,0.398,0,0,4.0,4,SEARCH_PHASE,-0.0213,0.0001,-62.611,39.1515
7,0.176,-26.4873,21.633,0.4695,-0.0365,-0.0012,0.2638,0.139,73.845,73.845,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.3836,0.0091,0.384,0.5429,-0.163,0,0,0,0.974,0.59,0.41,0,0,5.0,4,SEARCH_PHASE,-0.0365,-0.0012,-62.6117,39.1515
8,0.201,-26.4884,21.6329,0.4758,-0.0539,-0.0009,0.3122,0.145,73.846,73.846,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.4314,0.0136,0.432,0.6107,-0.1269,0,0,0,0.974,0.586,0.414,0,0,6.0,4,SEARCH_PHASE,-0.0539,-0.0009,-62.6128,39.1514
9,0.228,-26.4899,21.6329,0.483,-0.077,-0.0021,0.3606,0.152,73.847,73.848,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.479,0.0199,0.48,0.6784,-0.1514,0,0,0,0.974,0.608,0.392,0,0,7.0,4,SEARCH_PHASE,-0.077,-0.0021,-62.6143,39.1514
10,0.252,-26.4919,21.6329,0.4912,-0.1019,-0.0014,0.4097,0.161,73.849,73.849,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.5267,0.0249,0.528,0.7462,-0.1153,0,0,0,0.972,0.606,0.394,0,0,8.0,4,SEARCH_PHASE,-0.1019,-0.0014,-62.6164,39.1514
11,0.279,-26.4946,21.6328,0.5003,-0.132,-0.0016,0.4583,0.17,73.851,73.852,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.5741,0.033,0.576,0.8139,-0.1401,0,0,0,0.972,0.602,0.398,0,0,9.0,4,SEARCH_PHASE,-0.132,-0.0016,-62.619,39.1513
12,0.306,-26.4979,21.6329,0.5105,-0.1632,0.0004,0.5073,0.18,73.854,73.854,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.6215,0.0401,0.624,0.8816,-0.1027,0,0,0,0.972,0.597,0.403,0,0,10.0,4,SEARCH_PHASE,-0.1632,0.0004,-62.6223,39.1514
13,0.333,-26.5018,21.6329,0.5216,-0.1993,0.0018,0.5559,0.191,73.857,73.858,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.6687,0.049,0.672,0.9493,-0.1274,0,0,0,0.969,0.595,0.405,0,0,11.0,4,SEARCH_PHASE,-0.1993,0.0018,-62.6262,39.1514
14,0.362,-26.5066,21.633,0.5337,-0.2375,0.0059,0.6049,0.203,73.861,73.862,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.7161,0.0567,0.72,1.017,-0.0918,0,0,0,0.969,0.592,0.408,0,0,12.0,4,SEARCH_PHASE,-0.2375,0.0059,-62.631,39.1515
15,0.389,-26.5122,21.6332,0.5468,-0.2816,0.01,0.6528,0.216,73.866,73.867,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.7634,0.0649,0.768,1.0848,-0.1169,0,0,0,0.942,0.579,0.421,0,0,11.5,4,SEARCH_PHASE,-0.2816,0.01,-62.6366,39.1517
16,0.417,-26.5188,21.6335,0.5608,-0.3273,0.0172,0.701,0.23,73.872,73.873,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.8108,0.0726,0.816,1.1526,-0.0815,0,0,0,0.94,0.576,0.424,0,0,11.0,4,SEARCH_PHASE,-0.3273,0.0172,-62.6432,39.1521
17,0.446,-26.5263,21.634,0.5757,-0.3782,0.0248,0.748,0.245,73.879,73.879,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.8576,0.0831,0.864,1.2202,-0.1069,0,0,0,0.934,0.586,0.414,0,0,10.5,4,SEARCH_PHASE,-0.3782,0.0248,-62.6507,39.1525
18,0.475,-26.5349,21.6348,0.5916,-0.4302,0.0357,0.795,0.261,73.886,73.887,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.9043,0.0941,0.912,1.2878,-0.0847,0,0,0,0.93,0.578,0.422,0,0,10.0,4,SEARCH_PHASE,-0.4302,0.0357,-62.6593,39.1533
19,0.503,-26.5447,21.6357,0.6085,-0.4868,0.0474,0.8409,0.278,73.895,73.896,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.9504,0.1076,0.96,1.3551,-0.1164,0,0,0,0.926,0.582,0.418,0,0,9.5,4,SEARCH_PHASE,-0.4868,0.0474,-62.6691,39.1542
20,0.531,-26.5556,21.6369,0.6262,-0.5442,0.0613,0.8871,0.296,73.905,73.906,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.9965,0.1209,1.008,1.4226,-0.0818,0,0,0,0.924,0.578,0.422,0,0,9.0,4,SEARCH_PHASE,-0.5442,0.0613,-62.68,39.1554
21,0.563,-26.5676,21.6384,0.6448,-0.6039,0.0742,0.9321,0.314,73.916,73.917,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.0426,0.1344,1.056,1.49,-0.1029,0,0,0,0.92,0.578,0.422,0,0,8.5,4,SEARCH_PHASE,-0.6039,0.0742,-62.692,39.1569
22,0.591,-26.5809,21.6402,0.6644,-0.6617,0.0889,0.9786,0.334,73.928,73.929,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.088,0.15,1.104,1.5572,-0.0986,0,0,0,0.918,0.578,0.422,0,0,8.0,4,SEARCH_PHASE,-0.6617,0.0889,-62.7053,39.1587
