step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
0,0.0,8.9492,1.5302,3.9063,0.0,0.0,0.0,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.048,-0.0006,0.048,0.0679,-0.8284,0,0,0,0.979,0.616,0.384,0,0,0.0,5,SEARCH_PHASE,0.0,0.0
1,0.049,8.9492,1.5302,3.9067,0.0,0.0,0.0186,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.096,-0.0008,0.096,0.1358,-0.8239,0,0,0,0.978,0.577,0.423,0,0,0.0,5,SEARCH_PHASE,0.0,0.0
2,0.094,8.9492,1.5302,3.9076,0.0,-0.0,0.0478,0.072,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.144,-0.0006,0.144,0.2036,-0.8228,0,0,0,0.978,0.588,0.412,0,0,0.0,5,SEARCH_PHASE,0.0,-0.0
3,0.143,8.9492,1.5302,3.9093,-0.003,-0.0,0.0844,0.074,9.965,10.633,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.192,0.0009,0.192,0.2715,-0.8127,0,0,0,0.978,0.551,0.449,0,0,0.0,5,SEARCH_PHASE,-0.003,-0.0
4,0.191,8.949,1.5302,3.9118,-0.0061,-0.0001,0.1255,0.076,9.965,10.634,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2399,0.0025,0.24,0.3394,-0.8209,0,0,0,0.978,0.572,0.428,0,0,0.0,5,SEARCH_PHASE,-0.0061,-0.0001
5,0.24,8.9488,1.5302,3.9152,-0.0123,-0.0,0.1699,0.079,9.964,10.635,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2878,0.0061,0.288,0.4072,-0.7776,0,0,0,0.978,0.513,0.487,0,0,0.0,5,SEARCH_PHASE,-0.0123,-0.0
6,0.286,8.9484,1.5302,3.9196,-0.0214,-0.0008,0.2164,0.084,9.964,10.636,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3357,0.0091,0.336,0.4751,-0.8076,0,0,0,0.976,0.479,0.521,0,0,0.0,5,SEARCH_PHASE,-0.0214,-0.0008
7,0.334,8.9476,1.5302,3.9248,-0.0368,0.0014,0.2637,0.089,9.963,10.637,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3835,0.0139,0.384,0.5429,-0.7863,0,0,0,0.976,0.453,0.547,0,0,0.0,5,SEARCH_PHASE,-0.0368,0.0014
8,0.382,8.9465,1.5303,3.9311,-0.0556,0.0033,0.3123,0.095,9.963,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4312,0.0193,0.432,0.6107,-0.8156,0,0,0,0.976,0.42,0.58,0,0,0.0,5,SEARCH_PHASE,-0.0556,0.0033
9,0.428,8.9449,1.5304,3.9383,-0.0805,0.0066,0.3608,0.102,9.961,10.64,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4788,0.0256,0.48,0.6784,-0.7727,0,0,0,0.974,0.364,0.636,0,0,0.0,5,SEARCH_PHASE,-0.0805,0.0066
10,0.475,8.9427,1.5306,3.9465,-0.1088,0.0077,0.4099,0.111,9.959,10.641,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5261,0.0336,0.528,0.7461,-0.8011,0,0,0,0.974,0.34,0.66,0,0,0.0,5,SEARCH_PHASE,-0.1088,0.0077
11,0.524,8.9399,1.5308,3.9557,-0.1436,0.0109,0.4583,0.12,9.957,10.642,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5733,0.0421,0.576,0.8138,-0.7663,0,0,0,0.974,0.307,0.693,0,0,0.0,5,SEARCH_PHASE,-0.1436,0.0109
12,0.583,8.9362,1.531,3.9658,-0.182,0.0124,0.5065,0.13,9.954,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.6202,0.0523,0.624,0.8814,-0.7895,0,0,0,0.972,0.265,0.735,0,0,0.0,5,SEARCH_PHASE,-0.182,0.0124
