step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,8.9492,1.5302,3.9063,0.0,0.0,0.0,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.048,-0.0007,0.048,0.0679,-0.8284,0,0,0,0.979,0.616,0.384,0,0,0.0,5,SEARCH_PHASE,0.0,0.0,8.5519,5.1149
1,0.052,8.9492,1.5302,3.9067,0.0,0.0,0.0186,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.096,-0.0008,0.096,0.1358,-0.8239,0,0,0,0.978,0.577,0.423,0,0,0.0,5,SEARCH_PHASE,0.0,0.0,8.5519,5.1149
2,0.098,8.9492,1.5302,3.9076,-0.0,-0.0,0.0478,0.072,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.144,-0.0007,0.144,0.2036,-0.8228,0,0,0,0.978,0.588,0.412,0,0,0.0,5,SEARCH_PHASE,-0.0,-0.0,8.5519,5.1149
3,0.145,8.9492,1.5302,3.9093,-0.003,-0.0,0.0844,0.074,9.965,10.633,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.192,0.0008,0.192,0.2715,-0.8128,0,0,0,0.978,0.551,0.449,0,0,0.0,5,SEARCH_PHASE,-0.003,-0.0,8.5519,5.1149
4,0.192,8.949,1.5302,3.9118,-0.0061,-0.0001,0.1255,0.076,9.965,10.634,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2399,0.0025,0.24,0.3394,-0.8206,0,0,0,0.978,0.572,0.428,0,0,0.0,5,SEARCH_PHASE,-0.0061,-0.0001,8.5518,5.1149
5,0.238,8.9488,1.5302,3.9152,-0.0123,-0.0001,0.1699,0.079,9.964,10.635,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2878,0.0061,0.288,0.4072,-0.7773,0,0,0,0.978,0.513,0.487,0,0,0.0,5,SEARCH_PHASE,-0.0123,-0.0001,8.5515,5.1149
6,0.281,8.9484,1.5302,3.9196,-0.0214,-0.0008,0.2164,0.084,9.964,10.636,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3357,0.0091,0.336,0.4751,-0.8074,0,0,0,0.976,0.479,0.521,0,0,0.0,5,SEARCH_PHASE,-0.0214,-0.0008,8.5511,5.1149
7,0.326,8.9476,1.5302,3.9248,-0.0368,0.0015,0.2637,0.089,9.963,10.637,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3835,0.0139,0.384,0.5429,-0.7878,0,0,0,0.976,0.453,0.547,0,0,0.0,5,SEARCH_PHASE,-0.0368,0.0015,8.5503,5.1149
8,0.372,8.9465,1.5303,3.9311,-0.0556,0.0035,0.3123,0.095,9.963,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4312,0.0192,0.432,0.6107,-0.8171,0,0,0,0.976,0.42,0.58,0,0,0.0,5,SEARCH_PHASE,-0.0556,0.0035,8.5492,5.115
9,0.417,8.9449,1.5304,3.9383,-0.0805,0.0067,0.3608,0.102,9.961,10.64,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4788,0.0255,0.48,0.6784,-0.7742,0,0,0,0.974,0.364,0.636,0,0,0.0,5,SEARCH_PHASE,-0.0805,0.0067,8.5476,5.1151
10,0.462,8.9427,1.5306,3.9465,-0.1087,0.0076,0.4099,0.111,9.959,10.641,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5261,0.0334,0.528,0.7461,-0.8026,0,0,0,0.974,0.336,0.664,0,0,0.0,5,SEARCH_PHASE,-0.1087,0.0076,8.5454,5.1152
11,0.509,8.9399,1.5308,3.9557,-0.1435,0.0103,0.4583,0.12,9.957,10.642,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5733,0.0424,0.576,0.8138,-0.7675,0,0,0,0.974,0.307,0.693,0,0,0.0,5,SEARCH_PHASE,-0.1435,0.0103,8.5426,5.1154
12,0.557,8.9362,1.531,3.9658,-0.182,0.0113,0.5064,0.13,9.954,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.6202,0.0526,0.624,0.8813,-0.7848,0,0,0,0.972,0.275,0.725,0,0,0.0,5,SEARCH_PHASE,-0.182,0.0113,8.5389,5.1157
13,0.604,8.9317,1.5313,3.9769,-0.2235,0.014,0.5546,0.141,9.95,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.6669,0.0635,0.672,0.9489,-0.7545,0,0,0,0.972,0.254,0.746,0,0,0.0,5,SEARCH_PHASE,-0.2235,0.014,8.5345,5.116
14,0.651,8.9264,1.5316,3.9889,-0.2686,0.0157,0.6024,0.153,9.946,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.7128,0.0775,0.72,1.0161,-0.7721,0,0,0,0.971,0.21,0.79,0,0,0.0,5,SEARCH_PHASE,-0.2686,0.0157,8.5291,5.1163
15,0.698,8.9201,1.532,4.0019,-0.3148,0.0196,0.6503,0.166,9.941,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.7578,0.0944,0.768,1.083,-0.7467,0,0,0,0.969,0.185,0.815,0,0,0.0,5,SEARCH_PHASE,-0.3148,0.0196,8.5228,5.1167
16,0.747,8.9128,1.5324,4.0159,-0.3663,0.0227,0.6969,0.18,9.935,10.642,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.8033,0.1096,0.816,1.1503,-0.7394,0,0,0,0.969,0.164,0.836,0,0,0.0,5,SEARCH_PHASE,-0.3663,0.0227,8.5155,5.1171
17,0.792,8.9044,1.533,4.0308,-0.4195,0.0279,0.7437,0.195,9.928,10.641,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.8483,0.1263,0.864,1.2174,-0.7638,0,0,0,0.969,0.156,0.844,0,0,0.0,5,SEARCH_PHASE,-0.4195,0.0279,8.5071,5.1177
18,0.836,8.8949,1.5337,4.0466,-0.4747,0.0349,0.7901,0.211,9.92,10.64,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.878,0.0885,0.912,1.269,-0.7144,0,0,0,0.457,0.134,0.866,0,0,0.0,5,SEARCH_PHASE,-0.4747,0.0349,8.4976,5.1184
19,0.881,8.8843,1.5345,4.0633,-0.5287,0.041,0.8363,0.227,9.911,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9076,0.0508,0.96,1.3221,-0.7578,0,0,0,0.463,0.135,0.865,0,0,0.0,5,SEARCH_PHASE,-0.5287,0.041,8.487,5.1192
20,0.927,8.8726,1.5355,4.0809,-0.5838,0.0505,0.8816,0.245,9.902,10.635,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9373,0.013,1.008,1.3765,-0.7076,0,0,0,0.453,0.126,0.874,0,0,0.0,5,SEARCH_PHASE,-0.5838,0.0505,8.4753,5.1202
21,0.972,8.8599,1.5367,4.0995,-0.6374,0.0588,0.9269,0.264,9.892,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9668,-0.0248,1.056,1.432,-0.7517,0,0,0,0.46,0.133,0.867,0,0,0.0,5,SEARCH_PHASE,-0.6374,0.0588,8.4626,5.1214
